feature_names,lead_time_1,lead_time_2,lead_time_3,lead_time_4,lead_time_5,lead_time_6
t2m_x_7D_lag1,0.09,,,,,
t2m_x_7D_lag2,-0.06,-0.03,,,,
t2m_x_7D_lag3,-0.08,-0.12,-0.09,,,
t2m_x_7D_lag4,-0.03,-0.04,-0.06,-0.07,,
t2m_x_7D_lag5,,0.05,0.06,0.05,0.04,
t2m_x_7D_lag6,,,0.04,0.07,0.06,0.06
t2m_x_7D_lag7,,,,-0.09,-0.08,-0.07
t2m_x_7D_lag8,,,,,-0.02,0.01
t2m_x_7D_lag9,,,,,,-0.08
z_7D_lag1,-0.04,,,,,
z_7D_lag2,0.06,0.05,,,,
z_7D_lag3,0.07,0.1,0.09,,,
z_7D_lag4,-0.01,-0.01,0.01,0.01,,
z_7D_lag5,,-0.03,-0.02,-0.02,-0.03,
z_7D_lag6,,,-0.04,-0.06,-0.06,-0.05
z_7D_lag7,,,,0.05,0.03,0.02
z_7D_lag8,,,,,0.04,0.03
z_7D_lag9,,,,,,0.08
rain_7D_lag1,-0.1,,,,,
rain_7D_lag2,-0.03,0.01,,,,
rain_7D_lag3,0.0,0.02,0.04,,,
rain_7D_lag4,0.0,0.0,0.01,0.01,,
rain_7D_lag5,,-0.0,-0.02,-0.01,-0.01,
rain_7D_lag6,,,-0.02,-0.01,-0.0,-0.02
rain_7D_lag7,,,,0.0,0.02,0.01
rain_7D_lag8,,,,,0.03,0.03
rain_7D_lag9,,,,,,0.07
sm_7D_lag1,0.16,,,,,
sm_7D_lag2,-0.0,0.08,,,,
sm_7D_lag3,-0.05,-0.06,-0.02,,,
sm_7D_lag4,-0.05,-0.05,-0.05,-0.07,,
sm_7D_lag5,,0.02,0.07,0.05,-0.02,
sm_7D_lag6,,,-0.02,-0.0,-0.01,-0.0
sm_7D_lag7,,,,0.0,-0.04,-0.04
sm_7D_lag8,,,,,0.04,0.04
sm_7D_lag9,,,,,,-0.04
sea_7D_lag1,-0.03,,,,,
sea_7D_lag2,-0.01,-0.01,,,,
sea_7D_lag3,-0.04,-0.03,-0.03,,,
sea_7D_lag4,-0.03,-0.03,-0.03,-0.03,,
sea_7D_lag5,,0.02,0.03,0.03,0.02,
sea_7D_lag6,,,0.02,0.03,0.03,0.04
sea_7D_lag7,,,,-0.01,-0.01,-0.02
sea_7D_lag8,,,,,0.02,0.02
sea_7D_lag9,,,,,,-0.03
sst_nwmed_7D_lag1,0.37,,,,,
sst_nwmed_7D_lag2,-0.29,0.47,,,,
sst_nwmed_7D_lag3,0.01,-0.54,0.25,,,
sst_nwmed_7D_lag4,0.01,0.14,-0.23,0.25,,
sst_nwmed_7D_lag5,,0.02,-0.11,-0.43,0.03,
sst_nwmed_7D_lag6,,,0.15,0.21,0.03,0.08
sst_nwmed_7D_lag7,,,,0.02,-0.12,-0.08
sst_nwmed_7D_lag8,,,,,0.12,-0.03
sst_nwmed_7D_lag9,,,,,,0.08
sst_cnaa_7D_lag1,0.0,,,,,
sst_cnaa_7D_lag2,0.09,-0.24,,,,
sst_cnaa_7D_lag3,-0.05,0.18,-0.42,,,
sst_cnaa_7D_lag4,-0.01,0.19,0.23,-0.73,,
sst_cnaa_7D_lag5,,-0.12,0.58,1.3,-0.18,
sst_cnaa_7D_lag6,,,-0.4,-0.67,0.18,-0.12
sst_cnaa_7D_lag7,,,,0.09,0.03,0.11
sst_cnaa_7D_lag8,,,,,-0.05,0.08
sst_cnaa_7D_lag9,,,,,,-0.08
