feature_names,lead_time_1,lead_time_2,lead_time_3,lead_time_4,lead_time_5,lead_time_6
t2m_x_7D_lag1,0.02,,,,,
t2m_x_7D_lag2,0.01,0.03,,,,
t2m_x_7D_lag3,0.01,0.02,0.01,,,
t2m_x_7D_lag4,0.01,0.05,0.03,0.01,,
t2m_x_7D_lag5,,0.01,0.0,0.01,0.01,
t2m_x_7D_lag6,,,0.01,0.02,0.02,0.02
t2m_x_7D_lag7,,,,0.03,0.03,0.01
t2m_x_7D_lag8,,,,,0.01,0.01
t2m_x_7D_lag9,,,,,,0.01
z_7D_lag1,0.23,,,,,
z_7D_lag2,0.01,0.01,,,,
z_7D_lag3,0.01,0.0,0.0,,,
z_7D_lag4,0.01,0.01,0.01,0.0,,
z_7D_lag5,,0.0,0.01,0.01,0.01,
z_7D_lag6,,,0.0,0.01,0.01,0.0
z_7D_lag7,,,,0.02,0.02,0.01
z_7D_lag8,,,,,0.01,0.0
z_7D_lag9,,,,,,0.01
rain_7D_lag1,0.18,,,,,
rain_7D_lag2,0.03,0.01,,,,
rain_7D_lag3,0.01,0.01,0.01,,,
rain_7D_lag4,0.0,0.0,0.0,0.01,,
rain_7D_lag5,,0.0,0.0,0.01,0.01,
rain_7D_lag6,,,0.01,0.02,0.02,0.02
rain_7D_lag7,,,,0.01,0.0,0.01
rain_7D_lag8,,,,,0.01,0.01
rain_7D_lag9,,,,,,0.02
sm_7D_lag1,0.01,,,,,
sm_7D_lag2,0.01,0.02,,,,
sm_7D_lag3,0.01,0.02,0.02,,,
sm_7D_lag4,0.02,0.01,0.02,0.02,,
sm_7D_lag5,,0.04,0.05,0.04,0.05,
sm_7D_lag6,,,0.05,0.05,0.05,0.06
sm_7D_lag7,,,,0.01,0.01,0.01
sm_7D_lag8,,,,,0.02,0.04
sm_7D_lag9,,,,,,0.03
sea_7D_lag1,0.07,,,,,
sea_7D_lag2,0.01,0.03,,,,
sea_7D_lag3,0.01,0.01,0.03,,,
sea_7D_lag4,0.01,0.02,0.01,0.02,,
sea_7D_lag5,,0.06,0.08,0.06,0.05,
sea_7D_lag6,,,0.04,0.02,0.02,0.04
sea_7D_lag7,,,,0.03,0.03,0.04
sea_7D_lag8,,,,,0.01,0.02
sea_7D_lag9,,,,,,0.01
sst_nwmed_7D_lag1,0.21,,,,,
sst_nwmed_7D_lag2,0.01,0.35,,,,
sst_nwmed_7D_lag3,0.03,0.05,0.13,,,
sst_nwmed_7D_lag4,0.01,0.03,0.03,0.07,,
sst_nwmed_7D_lag5,,0.01,0.04,0.04,0.05,
sst_nwmed_7D_lag6,,,0.06,0.04,0.05,0.05
sst_nwmed_7D_lag7,,,,0.12,0.1,0.07
sst_nwmed_7D_lag8,,,,,0.04,0.04
sst_nwmed_7D_lag9,,,,,,0.05
sst_cnaa_7D_lag1,0.02,,,,,
sst_cnaa_7D_lag2,0.02,0.1,,,,
sst_cnaa_7D_lag3,0.01,0.01,0.12,,,
sst_cnaa_7D_lag4,0.02,0.03,0.03,0.06,,
sst_cnaa_7D_lag5,,0.09,0.07,0.1,0.13,
sst_cnaa_7D_lag6,,,0.12,0.15,0.16,0.23
sst_cnaa_7D_lag7,,,,0.03,0.02,0.01
sst_cnaa_7D_lag8,,,,,0.07,0.02
sst_cnaa_7D_lag9,,,,,,0.16
