feature_names,lead_time_1,lead_time_2,lead_time_3,lead_time_4,lead_time_5,lead_time_6
t2m_x_7D_lag1,0.47,,,,,
t2m_x_7D_lag2,-0.4,-0.3,,,,
t2m_x_7D_lag3,-0.23,-0.51,-0.42,,,
t2m_x_7D_lag4,0.05,0.02,-0.07,-0.11,,
t2m_x_7D_lag5,,0.26,0.35,0.31,0.26,
t2m_x_7D_lag6,,,0.2,0.32,0.29,0.31
t2m_x_7D_lag7,,,,-0.28,-0.22,-0.14
t2m_x_7D_lag8,,,,,-0.14,-0.08
t2m_x_7D_lag9,,,,,,-0.07
z_7D_lag1,0.07,,,,,
z_7D_lag2,0.21,0.21,,,,
z_7D_lag3,0.14,0.33,0.25,,,
z_7D_lag4,-0.22,-0.17,-0.14,-0.13,,
z_7D_lag5,,-0.3,-0.38,-0.37,-0.4,
z_7D_lag6,,,-0.18,-0.34,-0.31,-0.32
z_7D_lag7,,,,0.29,0.15,0.08
z_7D_lag8,,,,,0.25,0.18
z_7D_lag9,,,,,,0.15
rain_7D_lag1,-0.66,,,,,
rain_7D_lag2,0.07,0.22,,,,
rain_7D_lag3,0.21,0.27,0.3,,,
rain_7D_lag4,-0.03,0.02,0.04,-0.01,,
rain_7D_lag5,,-0.05,-0.05,0.02,-0.04,
rain_7D_lag6,,,-0.1,-0.01,0.04,-0.05
rain_7D_lag7,,,,0.08,0.17,0.13
rain_7D_lag8,,,,,0.2,0.28
rain_7D_lag9,,,,,,0.33
sm_7D_lag1,0.94,,,,,
sm_7D_lag2,-0.65,-0.08,,,,
sm_7D_lag3,-0.24,-0.28,-0.39,,,
sm_7D_lag4,0.04,0.08,-0.04,-0.32,,
sm_7D_lag5,,0.03,0.14,-0.02,-0.27,
sm_7D_lag6,,,0.08,-0.0,-0.05,-0.17
sm_7D_lag7,,,,0.19,-0.06,-0.06
sm_7D_lag8,,,,,0.18,-0.11
sm_7D_lag9,,,,,,0.03
sea_7D_lag1,-0.06,,,,,
sea_7D_lag2,-0.01,-0.04,,,,
sea_7D_lag3,-0.14,-0.12,-0.13,,,
sea_7D_lag4,-0.11,-0.14,-0.14,-0.17,,
sea_7D_lag5,,0.17,0.2,0.24,0.18,
sea_7D_lag6,,,0.03,0.08,0.13,0.14
sea_7D_lag7,,,,0.01,0.04,0.0
sea_7D_lag8,,,,,0.04,0.04
sea_7D_lag9,,,,,,-0.1
sst_nwmed_7D_lag1,2.1,,,,,
sst_nwmed_7D_lag2,-1.67,3.05,,,,
sst_nwmed_7D_lag3,-0.2,-3.31,1.99,,,
sst_nwmed_7D_lag4,0.31,0.4,-2.37,1.35,,
sst_nwmed_7D_lag5,,0.46,0.12,-2.5,0.46,
sst_nwmed_7D_lag6,,,0.69,1.52,-1.09,-0.35
sst_nwmed_7D_lag7,,,,-0.02,1.45,0.98
sst_nwmed_7D_lag8,,,,,-0.56,-0.23
sst_nwmed_7D_lag9,,,,,,-0.26
sst_cnaa_7D_lag1,-1.74,,,,,
sst_cnaa_7D_lag2,1.8,-3.24,,,,
sst_cnaa_7D_lag3,0.36,3.67,-3.27,,,
sst_cnaa_7D_lag4,-0.39,0.47,3.25,-4.15,,
sst_cnaa_7D_lag5,,-1.0,2.04,7.83,-0.97,
sst_cnaa_7D_lag6,,,-2.16,-4.93,2.34,1.38
sst_cnaa_7D_lag7,,,,1.08,-3.27,-3.73
sst_cnaa_7D_lag8,,,,,1.74,3.05
sst_cnaa_7D_lag9,,,,,,-0.76
